Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"147335404021",Gastal Thrillseeker DFT U NM,,05.27.26-005,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:04:00 PDT","Jul-27-26 13:04:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404022",Mystic Retrieval INR U NM,,05.27.26-020,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:19:00 PDT","Jul-27-26 13:19:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404024",Ignis Scientia FIN U NM,,05.27.26-014,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","0","0","May-27-26 13:13:00 PDT","Jul-27-26 13:13:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404026",Spire Mechcycle (Borderless) DFT U NM,,05.27.26-008,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:07:00 PDT","Jul-27-26 13:07:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404027",Coliseum Behemoth FIN U NM,,05.27.26-013,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:12:00 PDT","Jul-27-26 13:12:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404028",Ring of the Lucii FIN U NM,,05.27.26-016,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:15:00 PDT","Jul-27-26 13:15:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404029",Fang-Druid Summoner DFT U NM,,05.27.26-009,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:08:00 PDT","Jul-27-26 13:08:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404030",Kolaghan Warmonger (Foil Etched) MAT U NM,,05.27.26-018,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:17:00 PDT","Jul-27-26 13:17:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404031",Canyon Vaulter DFT U NM,,05.27.26-007,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:06:00 PDT","Jul-27-26 13:06:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404032",Wickerfolk Indomitable DFT U NM,,05.27.26-003,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:02:00 PDT","Jul-27-26 13:02:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404033",Magitek Infantry FIN C NM,,05.27.26-011,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:10:00 PDT","Jul-27-26 13:10:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404034",Black Waltz No. 3 FIN U NM,,05.27.26-015,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:14:00 PDT","Jul-27-26 13:14:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404035",Auron's Inspiration FIN U NM,,05.27.26-012,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:11:00 PDT","Jul-27-26 13:11:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404036",Locust Spray DFT U NM,,05.27.26-006,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:05:00 PDT","Jul-27-26 13:05:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404037",Dredger's Insight DFT U Magic: The Gathering NM,,05.27.26-004,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:03:00 PDT","Jul-27-26 13:03:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404038",Sabotage Strategist DFT U NM,,05.27.26-002,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:01:00 PDT","Jul-27-26 13:01:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404040",Groundskeeper INR U NM,,05.27.26-019,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:18:00 PDT","Jul-27-26 13:18:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404041",Tolarian Contempt (Foil Etched) MAT U NM,,05.27.26-017,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:16:00 PDT","Jul-27-26 13:16:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404042",Pack Guardian INR U NM,,05.27.26-001,"2","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:00:00 PDT","Jul-27-26 13:00:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404048",Restless Bloodseeker INR U NM,,05.27.26-021,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:20:00 PDT","Jul-27-26 13:20:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335404052",Death-Rattle Oni (Showcase) MAT U NM,,05.27.26-022,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 13:21:00 PDT","Jul-27-26 13:21:00 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147335455816",Lunarch Mantle - Magic The Gathering - Innistrad Remastered- Foil - Common,,MTG-01,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 11:34:40 PDT","Jul-27-26 11:34:40 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147336067757",Bellsprout 001/096 Xy3: Rising Fist Regular (Japanese),,,"1","FIXED_PRICE","USD",2.49,,,2.49,"0","","","May-27-26 19:23:34 PDT","Jul-27-26 19:23:34 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Lightly played (Excellent)","16073673476","US","","",""
"147336074838",Breloom 048/096 Xy3: Rising Fist Regular (Japanese),,,"1","FIXED_PRICE","USD",2.49,,,2.49,"0","","","May-27-26 19:26:18 PDT","Jul-27-26 19:26:18 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","16073673440","US","","",""
"147336076229",Patrat 079/096 Xy3: Rising Fist Regular (Japanese),,,"1","FIXED_PRICE","USD",0.99,,,0.99,"0","","","May-27-26 19:27:41 PDT","Jul-27-26 19:27:41 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","12074346198","US","","",""
"147336083018",Buizel 023/080 Xy2: Wild Blaze Regular (Japanese),,,"1","FIXED_PRICE","USD",1.99,,,1.99,"0","","","May-27-26 19:29:01 PDT","Jul-27-26 19:29:01 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","16073673503","US","","",""
"147336090628",Caterpie 001/080 Xy2: Wild Blaze Regular (Japanese),,,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 19:31:17 PDT","Jul-27-26 19:31:17 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Moderately played (Very good)","20074361550","US","","",""
"147336092265",Shinx 027/080 Xy2: Wild Blaze Regular (Japanese),,,"1","FIXED_PRICE","USD",2.49,,,2.49,"0","","","May-27-26 19:32:56 PDT","Jul-27-26 19:32:56 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Lightly played (Excellent)","8073687105","US","","",""
"147336094426",XY2: Wild Blaze - LP - Roserade 009/080 1st Edition US Seller,,,"1","FIXED_PRICE","USD",1.99,,,1.99,"0","","","May-27-26 19:36:27 PDT","Jul-27-26 19:36:27 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147336095310",Spritzee 044/060 XY-By: Collection Y Regular (Japanese),,,"1","FIXED_PRICE","USD",1.99,,,1.99,"0","","","May-27-26 19:37:56 PDT","Jul-27-26 19:37:56 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","20073642807","US","","",""
"147336096208",Chespin 007/060 XY-By: Collection Y Regular (Japanese),,,"1","FIXED_PRICE","USD",1.99,,,1.99,"0","","","May-27-26 19:39:28 PDT","Jul-27-26 19:39:28 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","20073642554","US","","",""
"147336097761",DODRIO 047/060 COLLECTION Y JAPANESE POKEMON TCG,,,"1","FIXED_PRICE","USD",1.99,,,1.99,"0","1","0","May-27-26 19:41:47 PDT","Jul-27-26 19:41:47 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147336101338",Venipede 024/060 XY-By: Collection Y Regular (Japanese),,,"1","FIXED_PRICE","USD",3.99,,,3.99,"0","","","May-27-26 19:44:38 PDT","Jul-27-26 19:44:38 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","9074355766","US","","",""
"147336102218",Malamar 036/060 XY-By: Collection Y Regular (Japanese),,,"1","FIXED_PRICE","USD",1.49,,,1.49,"0","","","May-27-26 19:46:19 PDT","Jul-27-26 19:46:19 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","23074368716","US","","",""
"147336103905",Hard Charm 057/060 XY-By: Collection Y Regular (Japanese),,,"1","FIXED_PRICE","USD",2.49,,,2.49,"0","","","May-27-26 19:47:50 PDT","Jul-27-26 19:47:50 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Lightly played (Excellent)","23074368649","US","","",""
"147336108365",Professor's Letter 055/060 XY-By: Collection Y Regular (Japanese),,,"1","FIXED_PRICE","USD",1.0,,,1.0,"0","","","May-27-26 19:49:18 PDT","Jul-27-26 19:49:18 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Lightly played (Excellent)","12073627744","US","","",""
"147336112751",Makuhita 049/096 Xy3: Rising Fist Regular (Japanese),,,"1","FIXED_PRICE","USD",3.49,,,3.49,"0","","","May-27-26 19:51:01 PDT","Jul-27-26 19:51:01 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","3073685141","US","","",""
"147336114584",(Japanese) Poliwag 015/096 C - XY3 Rising Fist 1st Edition - Pokémon TCG (NM),,,"1","FIXED_PRICE","USD",3.99,,,3.99,"0","","","May-27-26 19:55:49 PDT","Jul-27-26 19:55:49 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","","US","","",""
"147336115096",Golett 040/096 Xy3: Rising Fist Regular (Japanese),,,"1","FIXED_PRICE","USD",1.25,,,1.25,"0","","","May-27-26 19:57:11 PDT","Jul-27-26 19:57:11 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","11073671687","US","","",""
"147336115667",Sail Fossil 086/096 Xy3: Rising Fist Regular (Japanese),,,"1","FIXED_PRICE","USD",1.25,,,1.25,"0","","","May-27-26 19:58:32 PDT","Jul-27-26 19:58:32 PDT","CCG Individual Cards","183454","","","Ungraded","","","","Near mint or better","13073679955","US","","",""
