Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN,audit_price_column,audit_price,price_under_0_99,price_equal_0_99,price_under_1_49,price_over_100
147385600521,Migrating Ketradon DFT C NM,,06.19.26-040,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600522,Alacrian Jaguar DFT C NM,,06.19.26-038,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
147385600524,Haunted Hellride DFT U NM,,06.19.26-035,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600526,Shredder's Armor TMT U NM,,06.19.26-024,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600527,Road Rage DFT U NM,,06.19.26-029,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
147385600528,Scoured Barrens DFT L NM,,06.19.26-041,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
147385600532,Point the Way DFT U NM,,06.19.26-030,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600533,Spectacular Pileup (Extended Art) DFT R NM,,06.19.26-034,1,FIXED_PRICE,USD,0.99,,,0.99,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,0.99,False,True,True,False
147385600535,Pactdoll Terror DFT C NM,,06.19.26-059,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600537,Chitin Gravestalker DFT C NM,,06.19.26-046,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600539,Trip Up DFT C NM,,06.19.26-057,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600541,Collision Course DFT C NM,,06.19.26-049,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600543,Lotusguard Disciple DFT C NM,,06.19.26-051,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600548,Beastrider Vanguard DFT C NM,,06.19.26-052,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600549,Endrider Catalyzer DFT C NM,,06.19.26-048,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
147385600550,Syphon Fuel DFT C NM,,06.19.26-043,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
147385600553,Avishkar Raceway DFT C NM,,06.19.26-060,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
147385600554,Wreck Remover DFT C NM,,06.19.26-050,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
147385600556,Bounce Off DFT C NM,,06.19.26-056,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600557,Crash and Burn DFT C NM,,06.19.26-055,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
147385600558,Ticket Tortoise DFT C NM,,06.19.26-053,1,FIXED_PRICE,USD,1.19,,,1.19,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.19,False,False,True,False
147385600559,Hulldrifter DFT C NM,,06.19.26-058,1,FIXED_PRICE,USD,1.09,,,1.09,0,,,Jun-19-26 06:00:55 PDT,Jul-19-26 06:00:55 PDT,CCG Individual Cards,183454,,,Ungraded,,,,Near mint or better,,US,,,,Current price,1.09,False,False,True,False
