putnam_card_id,set_name,card_name,printed_number,product_id,product_name,status
pkm-ascended-heroes-35-217-93c8a240d9,Ascended Heroes,Salazzle,35/217,676881,Salazzle - 035/217 (Quick Ball),SKIP_NAME_MISMATCH
pkm-ascended-heroes-36-217-3c9a3810d5,Ascended Heroes,Scorbunny,36/217,675848,Scorbunny - 036/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-36-217-3c9a3810d5,Ascended Heroes,Scorbunny,36/217,677022,Scorbunny - 036/217 (Energy Symbol Pattern),SKIP_NAME_MISMATCH
pkm-ascended-heroes-36-217-3c9a3810d5,Ascended Heroes,Scorbunny,36/217,676882,Scorbunny - 036/217 (Friend Ball),SKIP_NAME_MISMATCH
pkm-ascended-heroes-37-217-eefdf0b53f,Ascended Heroes,Raboot,37/217,675849,Raboot,LINKED
pkm-ascended-heroes-37-217-eefdf0b53f,Ascended Heroes,Raboot,37/217,677023,Raboot (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-37-217-eefdf0b53f,Ascended Heroes,Raboot,37/217,676883,Raboot (Friend Ball),LINKED
pkm-ascended-heroes-38-217-6f88735232,Ascended Heroes,Cinderace ex,38/217,675850,Cinderace ex,LINKED
pkm-ascended-heroes-39-217-2fc02882b6,Ascended Heroes,Psyduck,39/217,675851,Psyduck - 039/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-39-217-2fc02882b6,Ascended Heroes,Psyduck,39/217,677024,Psyduck - 039/217 (Energy Symbol Pattern),SKIP_NAME_MISMATCH
pkm-ascended-heroes-39-217-2fc02882b6,Ascended Heroes,Psyduck,39/217,676884,Psyduck - 039/217 (Love Ball),SKIP_NAME_MISMATCH
pkm-ascended-heroes-40-217-1187539a2e,Ascended Heroes,Golduck,40/217,675852,Golduck,LINKED
pkm-ascended-heroes-40-217-1187539a2e,Ascended Heroes,Golduck,40/217,677025,Golduck (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-40-217-1187539a2e,Ascended Heroes,Golduck,40/217,676885,Golduck (Love Ball),LINKED
pkm-ascended-heroes-41-217-a4b0d4f540,Ascended Heroes,Totodile,41/217,675853,Totodile,LINKED
pkm-ascended-heroes-41-217-a4b0d4f540,Ascended Heroes,Totodile,41/217,677026,Totodile (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-41-217-a4b0d4f540,Ascended Heroes,Totodile,41/217,676886,Totodile (Friend Ball),LINKED
pkm-ascended-heroes-42-217-ed942dc11a,Ascended Heroes,Croconaw,42/217,675854,Croconaw,LINKED
pkm-ascended-heroes-42-217-ed942dc11a,Ascended Heroes,Croconaw,42/217,677027,Croconaw (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-42-217-ed942dc11a,Ascended Heroes,Croconaw,42/217,676887,Croconaw (Friend Ball),LINKED
pkm-ascended-heroes-43-217-fcbcf8ec75,Ascended Heroes,Mega Feraligatr ex,43/217,675855,Mega Feraligatr ex - 043/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-44-217-7f6a7283af,Ascended Heroes,Sneasel,44/217,675856,Sneasel,LINKED
pkm-ascended-heroes-44-217-7f6a7283af,Ascended Heroes,Sneasel,44/217,676888,Sneasel (Dusk Ball),LINKED
pkm-ascended-heroes-44-217-7f6a7283af,Ascended Heroes,Sneasel,44/217,677028,Sneasel (Energy Symbol Pattern),LINKED
pkm-ascended-heroes-45-217-4fe2d509a5,Ascended Heroes,Weavile,45/217,675857,Weavile - 045/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-45-217-4fe2d509a5,Ascended Heroes,Weavile,45/217,676889,Weavile - 045/217 (Dusk Ball),SKIP_NAME_MISMATCH
pkm-ascended-heroes-45-217-4fe2d509a5,Ascended Heroes,Weavile,45/217,677029,Weavile - 045/217 (Energy Symbol Pattern),SKIP_NAME_MISMATCH
pkm-ascended-heroes-46-217-e0ca515bf5,Ascended Heroes,Snorunt,46/217,675858,Snorunt - 046/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-46-217-e0ca515bf5,Ascended Heroes,Snorunt,46/217,677030,Snorunt - 046/217 (Energy Symbol Pattern),SKIP_NAME_MISMATCH
pkm-ascended-heroes-46-217-e0ca515bf5,Ascended Heroes,Snorunt,46/217,676890,Snorunt - 046/217 (Love Ball),SKIP_NAME_MISMATCH
pkm-ascended-heroes-47-217-9ae1187280,Ascended Heroes,Mega Froslass ex,47/217,675859,Mega Froslass ex - 047/217,SKIP_NAME_MISMATCH
pkm-ascended-heroes-48-217-2e8fda5482,Ascended Heroes,Regice ex,48/217,675860,Regice ex,LINKED
pkm-ascended-heroes-49-217-d7a8d0bedf,Ascended Heroes,N's Vanillite,49/217,675861,N's Vanillite,LINKED
