row_number,item_id,title,sku,match_method,match_confidence,current_price,market_price,recommended_price,difference,percent_change,recommendation,changed,review_required,reason,provider
81,147336754918,Pikachu (Pokemon Day 2026) 051/162 - NM - Tail Swirl,,item_specifics,medium,18.99,,18.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
82,147336760424,Pokemon Day 30th Anniversary - Pikachu 051 /162 2026 Promo NM - HEAD SWIRL,,item_specifics,medium,18.99,,18.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
83,147336783609,Froakie - (Cosmos Holo) Holo Promo Miscellaneous Cards & Products 056/197 NM,05.28.26-005,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
84,147336868889,Skybox Ferry (Borderless) Aetherdrift Regular,,item_specifics,medium,1.25,,1.25,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
85,147336997230,Draconautics Engineer DFT R NM,05.28.26.1-015,sku,high,1.99,,1.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
86,147336997231,Travel the Overworld FIN U NM,05.28.26.1-009,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
87,147336997232,Earthrumbler DFT U NM,05.28.26.1-019,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
88,147336997233,Rinoa Heartilly FIN U NM,05.28.26.1-013,sku,high,3.49,,3.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
89,147336997235,Sidequest: Hunt the Mark FIN U NM,05.28.26.1-012,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
90,147336997236,Stolen Uniform FIN U NM,05.28.26.1-004,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
91,147336997238,"Aatchik, Emerald Radian (Borderless) DFT R NM",05.28.26.1-017,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
92,147336997239,Cloud of Darkness FIN U NM,05.28.26.1-005,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
93,147336997240,Queen Brahne FIN U NM,05.28.26.1-003,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
94,147336997241,Gaius van Baelsar FIN U NM,05.28.26.1-008,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
95,147336997242,Fire Magic FIN U NM,05.28.26.1-006,sku,high,1.99,,1.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
96,147336997243,Auron's Inspiration FIN U NM,05.28.26.1-010,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
97,147336997244,Haunted Hellride (Borderless) DFT U NM,05.28.26.1-018,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
98,147336997245,"Lagorin, Soul of Alacria DFT U NM",05.28.26.1-020,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
99,147336997246,"Caradora, Heart of Alacria (Borderless) DFT R NM",05.28.26.1-014,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
100,147336997247,"Ultimecia, Time Sorceress FIN U NM",05.28.26.1-002,sku,high,2.49,,2.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
101,147336997248,Unexpected Request FIN U NM,05.28.26.1-011,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
102,147336997249,"Sita Varma, Masked Racer (Borderless) DFT R NM",05.28.26.1-016,sku,high,0.99,,0.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
103,147336997250,Snow Villiers FIN U NM,05.28.26.1-007,sku,high,1.29,,1.29,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
104,147336997254,Cactuar FIN U NM,05.28.26.1-041,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
105,147336997255,Sorceress's Schemes FIN U NM,05.28.26.1-043,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
106,147336997256,Eject FIN U NM,05.28.26.1-045,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
107,147336997258,Sleep Magic FIN U NM,05.28.26.1-042,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
108,147336997259,"Rydia, Summoner of Mist FIN U NM",05.28.26.1-044,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
109,147336997261,"Kalakscion, Hunger Tyrant DFT U NM",05.28.26.1-023,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
110,147336997262,"Fang, Fearless l'Cie FIN U NM",05.28.26.1-031,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
111,147336997263,Earthrumbler (Borderless) DFT U NM,05.28.26.1-026,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
112,147336997264,Ambrosia Whiteheart FIN U NM,05.28.26.1-039,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
113,147336997265,Relentless X-ATM092 FIN U NM,05.28.26.1-036,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
114,147336997266,Samurai's Katana FIN U NM,05.28.26.1-035,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
115,147336997267,"Garnet, Princess of Alexandria FIN U NM",05.28.26.1-037,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
116,147336997268,Cursecloth Wrappings (Extended Art) DFT R NM,05.28.26.1-028,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
117,147336997269,"Gongaga, Reactor Town FIN L NM",05.28.26.1-032,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
118,147336997270,Bloodline Keeper (Showcase) INR M NM,05.28.26.1-030,sku,high,7.99,,7.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
119,147336997271,Captivating Vampire M11 R NM,05.28.26.1-029,sku,high,4.99,,4.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
120,147336997272,"Torgal, A Fine Hound FIN U NM",05.28.26.1-040,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
121,147336997273,"Gohn, Town of Ruin FIN L NM",05.28.26.1-033,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
122,147336997274,Rocketeer Boostbuggy (Borderless) DFT U NM,05.28.26.1-025,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
123,147336997275,"Terrian, World Tyrant DFT U NM",05.28.26.1-021,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
124,147336997276,"Exdeath, Void Warlock FIN U NM",05.28.26.1-034,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
125,147336997277,Demon Wall FIN U NM,05.28.26.1-038,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
126,147336997278,Spire Mechcycle (Borderless) DFT U NM,05.28.26.1-027,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
127,147336997279,Spikeshell Harrier DFT U NM,05.28.26.1-024,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
128,147336997280,Air Response Unit DFT U NM,05.28.26.1-022,sku,high,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
129,147338097397,Fennekin #80 Chaos Rising Pokemon Center ETB stamped promo (SEALED),,item_specifics,medium,75.00,,75.00,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
130,147338139720,Night Stretcher 061/064 Sv: Shrouded Fable Regular,,item_specifics,medium,2.25,,2.25,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
131,147338146672,Lillie's Determination 119/132 Me01: Mega Evolution Regular,,item_specifics,medium,1.99,,1.99,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
132,147338150803,Iono 080/091 SV: Paldean Fates Regular,,item_specifics,medium,1.49,,1.49,0.00,0.00,Review,FALSE,TRUE,Listing was not matched to market data.,TCGtracking
